timestamp,tick,subheat,active_tasks,remaining_qty,tenders_seen,tenders_accepted,net_pos,gross_pos,pnl
2026-02-10T20:23:57,405,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:58,406,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:59,407,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:00,408,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:01,409,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:02,410,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:03,411,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:04,412,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:05,413,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:06,414,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:07,415,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:08,416,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:09,417,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:10,418,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:11,419,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:12,420,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:13,421,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:14,422,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:15,423,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:16,424,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:17,425,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:18,426,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:19,427,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:20,428,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:21,429,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:22,430,1,0,0,0,0,0,0,8577.5
2026-02-10T20:24:23,431,1,0,0,1,1,0,0,8577.5
2026-02-10T20:24:25,432,1,1,68000,0,0,68000,68000,18777.5
2026-02-10T20:24:25,433,1,1,59341,0,0,68000,68000,18777.5
2026-02-10T20:24:26,434,1,1,51273,0,0,59341,59341,19284.32
2026-02-10T20:24:27,435,1,1,43756,0,0,51273,51273,19716.370000000003
2026-02-10T20:24:28,436,1,1,36753,0,0,43756,43756,19641.2
2026-02-10T20:24:29,437,1,1,30228,0,0,38141,38141,18803.91
2026-02-10T20:24:30,438,1,1,24149,0,0,30228,30228,19106.190000000002
2026-02-10T20:24:31,439,1,1,18485,0,0,24149,24149,18745.989999999998
2026-02-10T20:24:32,440,1,1,13208,0,0,18485,18485,19655.309999999998
2026-02-10T20:24:33,441,1,1,9294,0,0,14449,14449,18892.5
2026-02-10T20:24:35,442,1,1,7731,0,0,10535,10535,18853.36
2026-02-10T20:24:35,443,1,1,6299,0,0,7731,7731,19041.989999999998
2026-02-10T20:24:36,444,1,1,4988,0,0,6299,6299,19279.629999999997
2026-02-10T20:24:37,445,1,1,3787,0,0,4988,4988,19067.0
2026-02-10T20:24:38,446,1,1,2687,0,0,3787,3787,19054.989999999998
2026-02-10T20:24:39,447,1,1,1679,0,0,2687,2687,19178.34
2026-02-10T20:24:40,448,1,1,756,0,0,1679,1679,19201.84
2026-02-10T20:24:41,449,1,1,756,0,0,756,756,19192.61
2026-02-10T20:24:42,450,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:43,451,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:44,452,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:45,453,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:46,454,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:47,455,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:48,456,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:49,457,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:50,458,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:51,459,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:52,460,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:53,461,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:54,462,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:55,463,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:56,464,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:57,465,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:58,466,1,0,0,0,0,0,0,19185.05
2026-02-10T20:24:59,467,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:00,468,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:01,469,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:02,470,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:03,471,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:04,472,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:05,473,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:06,474,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:07,475,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:08,476,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:09,477,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:10,478,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:11,479,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:12,480,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:13,481,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:14,482,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:15,483,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:16,484,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:17,485,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:18,486,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:19,487,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:20,488,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:21,489,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:23,490,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:23,491,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:25,492,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:26,493,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:27,494,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:28,495,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:29,496,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:30,497,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:31,498,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:32,499,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:33,500,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:34,501,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:35,502,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:36,503,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:37,504,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:38,505,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:39,506,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:40,507,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:41,508,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:42,509,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:43,510,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:44,511,1,0,0,1,0,0,0,19185.05
2026-02-10T20:25:45,512,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:46,513,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:47,514,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:48,515,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:49,516,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:50,517,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:51,518,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:52,519,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:53,520,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:54,521,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:55,522,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:56,523,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:57,524,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:58,525,1,0,0,0,0,0,0,19185.05
2026-02-10T20:25:59,526,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:00,527,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:01,528,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:02,529,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:03,530,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:04,531,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:05,532,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:06,533,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:07,534,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:08,535,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:09,536,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:10,537,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:11,538,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:12,539,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:13,540,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:14,541,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:15,542,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:16,543,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:17,544,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:18,545,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:19,546,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:20,547,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:21,548,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:22,549,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:23,550,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:24,551,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:25,552,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:26,553,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:27,554,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:28,555,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:29,556,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:30,557,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:31,558,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:32,559,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:33,560,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:34,561,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:35,562,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:36,563,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:37,564,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:38,565,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:39,566,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:40,567,1,0,0,1,0,0,0,19185.05
2026-02-10T20:26:41,568,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:42,569,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:43,570,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:44,571,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:45,572,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:46,573,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:47,574,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:48,575,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:49,576,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:50,577,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:51,578,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:52,579,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:53,580,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:54,581,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:55,582,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:56,583,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:57,584,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:58,585,1,0,0,0,0,0,0,19185.05
2026-02-10T20:26:59,586,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:00,587,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:01,588,1,0,0,0,0,0,0,19185.05
